"","STATE","STNAME","AGEGRP","RACE","ESTIM","MR","NUM_DIFF","EOC","COVERAGE"
"251",5,"Arkansas",9,"NHPI_A",188,303,115,46.84,"overcount"
"252",5,"Arkansas",9,"NHPI_AIC",280,387,107,32.08,"overcount"
"253",5,"Arkansas",10,"A_A",2323,2361,38,1.62,"overcount"
"254",5,"Arkansas",10,"A_AIC",2610,2487,-123,-4.83,"undercount"
"255",5,"Arkansas",10,"NHPI_A",165,228,63,32.06,"overcount"
"256",5,"Arkansas",10,"NHPI_AIC",261,265,4,1.52,"overcount"
"257",5,"Arkansas",11,"A_A",2106,2172,66,3.09,"overcount"
"258",5,"Arkansas",11,"A_AIC",2343,2308,-35,-1.51,"undercount"
"259",5,"Arkansas",11,"NHPI_A",133,199,66,39.76,"overcount"
"260",5,"Arkansas",11,"NHPI_AIC",204,267,63,26.75,"overcount"
"261",5,"Arkansas",12,"A_A",1768,1829,61,3.39,"overcount"
"262",5,"Arkansas",12,"A_AIC",1976,1879,-97,-5.03,"undercount"
"263",5,"Arkansas",12,"NHPI_A",113,144,31,24.12,"overcount"
"264",5,"Arkansas",12,"NHPI_AIC",189,175,-14,-7.69,"undercount"
"265",5,"Arkansas",13,"A_A",1299,1324,25,1.91,"overcount"
"266",5,"Arkansas",13,"A_AIC",1462,1394,-68,-4.76,"undercount"
"267",5,"Arkansas",13,"NHPI_A",74,90,16,19.51,"overcount"
"268",5,"Arkansas",13,"NHPI_AIC",109,125,16,13.68,"overcount"
"269",5,"Arkansas",14,"A_A",906,827,-79,-9.12,"undercount"
"270",5,"Arkansas",14,"A_AIC",1011,808,-203,-22.32,"undercount"
"271",5,"Arkansas",14,"NHPI_A",52,59,7,12.61,"overcount"
"272",5,"Arkansas",14,"NHPI_AIC",108,78,-30,-32.26,"undercount"
"273",5,"Arkansas",15,"A_A",624,517,-107,-18.76,"undercount"
"274",5,"Arkansas",15,"A_AIC",725,527,-198,-31.63,"undercount"
