"","STNAME","CTYNAME","RACE","MR"
"248","AL","Houston County","NHPI_A",15
"249","AL","Jackson County","A_AIC",178
"250","AL","Jackson County","A_A",128
"251","AL","Jackson County","NHPI_AIC",27
"252","AL","Jackson County","NHPI_A",13
"253","AL","Jefferson County","A_AIC",7184
"254","AL","Jefferson County","A_A",6129
"255","AL","Jefferson County","NHPI_AIC",428
"256","AL","Jefferson County","NHPI_A",202
"257","AL","Lamar County","A_AIC",14
"258","AL","Lamar County","A_A",11
"259","AL","Lamar County","NHPI_AIC",3
"260","AL","Lamar County","NHPI_A",0
"261","AL","Lauderdale County","A_AIC",386
"262","AL","Lauderdale County","A_A",317
"263","AL","Lauderdale County","NHPI_AIC",36
"264","AL","Lauderdale County","NHPI_A",17
"265","AL","Lawrence County","A_AIC",61
"266","AL","Lawrence County","A_A",35
"267","AL","Lawrence County","NHPI_AIC",5
"268","AL","Lawrence County","NHPI_A",3
"269","AL","Lee County","A_AIC",2166
"270","AL","Lee County","A_A",1893
"271","AL","Lee County","NHPI_AIC",104
"272","AL","Lee County","NHPI_A",25
"273","AL","Limestone County","A_AIC",302
"274","AL","Limestone County","A_A",234
"275","AL","Limestone County","NHPI_AIC",37
"276","AL","Limestone County","NHPI_A",20
"277","AL","Lowndes County","A_AIC",31
"278","AL","Lowndes County","A_A",16
"279","AL","Lowndes County","NHPI_AIC",6
"280","AL","Lowndes County","NHPI_A",3
"281","AL","Macon County","A_AIC",129
"282","AL","Macon County","A_A",98
"283","AL","Macon County","NHPI_AIC",10
"284","AL","Macon County","NHPI_A",4
"285","AL","Madison County","A_AIC",6316
"286","AL","Madison County","A_A",5225
"287","AL","Madison County","NHPI_AIC",360
"288","AL","Madison County","NHPI_A",168
"289","AL","Marengo County","A_AIC",53
"290","AL","Marengo County","A_A",41
"291","AL","Marengo County","NHPI_AIC",10
"292","AL","Marengo County","NHPI_A",3
"293","AL","Marion County","A_AIC",101
"294","AL","Marion County","A_A",62
"295","AL","Marion County","NHPI_AIC",28
"296","AL","Marion County","NHPI_A",11
"297","AL","Marshall County","A_AIC",297
"298","AL","Marshall County","A_A",222
"299","AL","Marshall County","NHPI_AIC",86
"300","AL","Marshall County","NHPI_A",49
"301","AL","Mobile County","A_AIC",6554
"302","AL","Mobile County","A_A",5733
"303","AL","Mobile County","NHPI_AIC",297
"304","AL","Mobile County","NHPI_A",107
"305","AL","Monroe County","A_AIC",81
"306","AL","Monroe County","A_A",73
"307","AL","Monroe County","NHPI_AIC",8
"308","AL","Monroe County","NHPI_A",3
"309","AL","Montgomery County","A_AIC",2937
"310","AL","Montgomery County","A_A",2253
"311","AL","Montgomery County","NHPI_AIC",172
"312","AL","Montgomery County","NHPI_A",72
"313","AL","Morgan County","A_AIC",649
"314","AL","Morgan County","A_A",531
"315","AL","Morgan County","NHPI_AIC",107
"316","AL","Morgan County","NHPI_A",75
"317","AL","Perry County","A_AIC",30
"318","AL","Perry County","A_A",4
"319","AL","Perry County","NHPI_AIC",16
"320","AL","Perry County","NHPI_A",3
"321","AL","Pickens County","A_AIC",58
"322","AL","Pickens County","A_A",23
"323","AL","Pickens County","NHPI_AIC",20
"324","AL","Pickens County","NHPI_A",5
"325","AL","Pike County","A_AIC",155
"326","AL","Pike County","A_A",111
"327","AL","Pike County","NHPI_AIC",27
"328","AL","Pike County","NHPI_A",5
"329","AL","Randolph County","A_AIC",64
"330","AL","Randolph County","A_A",51
"331","AL","Randolph County","NHPI_AIC",3
"332","AL","Randolph County","NHPI_A",1
"333","AL","Russell County","A_AIC",321
"334","AL","Russell County","A_A",198
"335","AL","Russell County","NHPI_AIC",84
"336","AL","Russell County","NHPI_A",40
"337","AL","Shelby County","A_AIC",1761
"338","AL","Shelby County","A_A",1509
"339","AL","Shelby County","NHPI_AIC",48
"340","AL","Shelby County","NHPI_A",27
"341","AL","St. Clair County","A_AIC",172
"342","AL","St. Clair County","A_A",114
"343","AL","St. Clair County","NHPI_AIC",29
"344","AL","St. Clair County","NHPI_A",18
"345","AL","Sumter County","A_AIC",29
"346","AL","Sumter County","A_A",15
